model,scenario,region,variable,unit,year,value,study
PROMETHEUS V1,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2015,12.276128518956208,Study_3
PROMETHEUS V1,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2020,12.07222940474897,Study_3
PROMETHEUS V1,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2025,13.749874323058963,Study_3
PROMETHEUS V1,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2030,15.01487461387213,Study_3
PROMETHEUS V1,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2035,15.553125483873737,Study_3
PROMETHEUS V1,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2040,15.203551802403931,Study_3
PROMETHEUS V1,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2045,15.58832368491121,Study_3
PROMETHEUS V1,NDC_LTT_limRES,EU28,Secondary Energy|Electricity,EJ/yr,2050,15.792296074327707,Study_3
PROMETHEUS V1,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2015,12.276128518956208,Study_3
PROMETHEUS V1,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2020,12.07222940474897,Study_3
PROMETHEUS V1,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2025,13.74269108054023,Study_3
PROMETHEUS V1,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2030,15.061967870640842,Study_3
PROMETHEUS V1,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2035,15.641235855039856,Study_3
PROMETHEUS V1,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2040,15.303511027219443,Study_3
PROMETHEUS V1,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2045,15.685211267638454,Study_3
PROMETHEUS V1,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2050,15.838839989600153,Study_3
PROMETHEUS V1,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2015,12.276128518956208,Study_3
PROMETHEUS V1,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2020,12.07222940474897,Study_3
PROMETHEUS V1,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2025,13.74269108054023,Study_3
PROMETHEUS V1,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2030,15.061967870640842,Study_3
PROMETHEUS V1,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2035,15.59274736623395,Study_3
PROMETHEUS V1,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2040,15.193874508027774,Study_3
PROMETHEUS V1,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2045,15.528110872023065,Study_3
PROMETHEUS V1,NDC_LTT_limCCS,EU28,Secondary Energy|Electricity,EJ/yr,2050,15.596680071163254,Study_3
PROMETHEUS V1,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2015,12.276128518956208,Study_3
PROMETHEUS V1,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2020,12.07222940474897,Study_3
PROMETHEUS V1,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2025,13.74269108054023,Study_3
PROMETHEUS V1,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2030,15.061967870640842,Study_3
PROMETHEUS V1,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2035,15.60943986137232,Study_3
PROMETHEUS V1,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2040,15.255571228470654,Study_3
