model,scenario,region,variable,unit,year,value,Category,Ssp_family
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,42.5604392201957,C2,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,195.993507246743,C2,2.0
TIAM-ECN 1.1,EN_NPi2020_800,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-4202.831,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1136.3498,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1800f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,2518.3296,C5,2.0
IMAGE 3.0.2,EMF33_WB2C_full,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-3686.26000976562,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,8315.107719378406,C5,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,249.78,C1,2.0
COFFEE 1.1,EN_NPi2020_400f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-542.6164450000001,C2,2.0
TIAM-ECN 1.1,EN_NPi2020_2500f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3046.321058934545,C5,2.0
WITCH 5.0,EN_INDCi2030_2500f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3804.984340753457,C5,2.0
REMIND 1.7,ADVANCE_2030_Price1.5C,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-665.7612,C2,2.0
POLES ENGAGE,EN_NPi2020_1800,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,6826.15771484375,C5,2.0
REMIND 2.1,LeastTotalCost_CBA_brkSR15_SSP2_P50,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,2002.3355,C3,2.0
REMIND 1.7,ADVANCE_2020_WB2C,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,558.4223,C2,2.0
GCAM 5.3,R_MAC_55_n0,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2078.95900089283,C3,2.0
REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_full,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,5078.6914,C5,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,449.2001,C1,2.0
REMIND 2.1,TechCost-SSP2-B1100-bioH,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1021.3782,C3,2.0
AIM/CGE 2.2,EN_INDCi2030_1800f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,9270.3285,C5,2.0
IMAGE 3.0.2,EMF33_WB2C_nofuel,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2874.55810546875,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_NDCp,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,2982.3941,C5,2.0
AIM/CGE 2.2,EN_INDCi2030_900f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,2499.5571,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1800f_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,6579.555191996199,C5,2.0
GEM-E3_V2021,EN_INDCi2030_1000_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-778.4393078141993,C3,2.0
WITCH 5.0,CO_Bridge,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,117.46736157119,C3,2.0
AIM/CGE 2.2,EN_NPi2020_1600f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,7086.597,C5,2.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-1148.0216,C1,2.0
REMIND 2.1,TechCost-SSP2-B1100-oilH,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,226.0273,C3,2.0
WITCH 5.0,EN_INDCi2030_1000,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-1449.899111349629,C3,2.0
