model,scenario,region,variable,unit,year,value,Category,Ssp_family
TIAM-ECN 1.1,EN_NPi2020_800,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.91,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.9058,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.3935,C1,2.0
REMIND 2.1,LeastTotalCost_CBA_brkSR15_SSP2_P50,EU28,Secondary Energy|Electricity,EJ/yr,2050,21.3829,C3,2.0
GCAM 5.3,R_MAC_55_n0,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.7574651945,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.8049,C1,2.0
REMIND 2.1,TechCost-SSP2-B1100-bioH,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.049,C3,2.0
AIM/CGE 2.2,EN_INDCi2030_900f,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.7062,C3,2.0
GEM-E3_V2021,EN_INDCi2030_1000_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,16.10708387715467,C3,2.0
WITCH 5.0,CO_Bridge,EU28,Secondary Energy|Electricity,EJ/yr,2050,39.8053319842859,C3,2.0
REMIND 2.1,CEMICS_GDPgrowth_1p5,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.7592,C1,2.0
REMIND 2.1,TechCost-SSP2-B1100-oilH,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.0769,C3,2.0
WITCH 5.0,EN_INDCi2030_1000,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.5332390036168,C3,2.0
WITCH 5.0,EN_NPi2020_600,EU28,Secondary Energy|Electricity,EJ/yr,2050,31.4673390129391,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.0396,C2,2.0
REMIND 2.1,TechCost-SSP2-B1100-coalH,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.5538,C3,2.0
GCAM 5.3,R_MAC_35_n0,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.93148682051,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.4577,C3,2.0
POLES ENGAGE,EN_NPi2020_500,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.01788902282715,C3,2.0
GEM-E3_V2021,EN_INDCi2030_1000_COV_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,17.011995188204036,C3,2.0
TIAM-ECN 1.1,EN_NPi2020_1000,EU28,Secondary Energy|Electricity,EJ/yr,2050,20.343325555701824,C3,2.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.6723,C2,2.0
