model,scenario,region,variable,unit,year,value,Category,Ssp_family
TIAM-ECN 1.1,EN_NPi2020_800,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.319999999999999,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.6032,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.6805,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.6219,C1,2.0
AIM/CGE 2.2,EN_INDCi2030_900f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,16.2426,C3,2.0
GEM-E3_V2021,EN_INDCi2030_1000_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,8.278592122170899,C3,2.0
WITCH 5.0,CO_Bridge,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,7.36376213508674,C3,2.0
WITCH 5.0,EN_INDCi2030_1000,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.12774497475364,C3,2.0
WITCH 5.0,EN_NPi2020_600,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.3833093339010505,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.6959,C2,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.717,C3,2.0
POLES ENGAGE,EN_NPi2020_500,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,2.332828283309937,C3,2.0
GEM-E3_V2021,EN_INDCi2030_1000_COV_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,8.26490280325455,C3,2.0
TIAM-ECN 1.1,EN_NPi2020_1000,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.603170351990368,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.7453,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.5721,C2,2.0
GEM-E3_V2021,EN_INDCi2030_600f_COV_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,8.349515036400325,C2,2.0
TIAM-ECN 1.1,EN_NPi2020_900f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.6992484580228915,C3,2.0
WITCH 5.0,EN_NPi2020_1000f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,4.35527270266844,C3,2.0
AIM/CGE 2.2,EN_NPi2020_800,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,15.943700000000002,C3,2.0
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_uniform-pricing_def,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.3895,C3,2.0
TIAM-ECN 1.1,EN_INDCi2030_1000f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,7.405878840630346,C3,2.0
REMIND-MAgPIE 2.1-4.2,NGFS2_Delayed Transition,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.4087,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.68,C3,2.0
POLES ENGAGE,EN_NPi2020_800,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.386394023895264,C3,2.0
WITCH 5.0,EN_INDCi2030_800,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,7.97874750065576,C3,2.0
IMAGE 3.2,SSP2_SPA2_26I_RE,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,3.268162427848816,C3,2.0
WITCH 5.0,EN_INDCi2030_800f_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.446034073210821,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.4184,C3,2.0
IMAGE 3.2,SSP2_SPA2_26I_LI,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,3.478393562515259,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.6606000000000005,C3,2.0
TIAM-ECN 1.1,EN_NPi2020_800f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.6,C3,2.0
WITCH 5.0,EN_NPi2020_800,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,2.79666720808625,C3,2.0
GEM-E3_V2021,EN_NPi2020_1000f_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,8.403239225973612,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.7341,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.6714,C1,2.0
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_no-transfer_def,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.1499,C3,2.0
WITCH 5.0,EN_NPi2020_700f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,2.3982951811940203,C3,2.0
AIM/CGE 2.2,EN_NPi2020_800f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,16.710900000000002,C3,2.0
